trajectory,dt,action_index,frustration
astropy-13033,5,28,1.000000
astropy-13033,5,29,0.979444
astropy-13033,5,30,1.000000
astropy-13033,5,31,0.979444
astropy-13033,5,32,0.959357
astropy-13033,5,33,0.939730
astropy-13033,5,34,0.920550
astropy-13033,5,35,0.901809
astropy-13033,5,36,0.933496
astropy-13033,5,37,0.964458
astropy-13033,5,38,0.994714
astropy-13033,5,39,0.974279
astropy-13033,5,40,1.000000
astropy-13033,5,41,1.000000
astropy-13033,5,42,1.000000
astropy-13033,5,43,1.000000
astropy-13033,5,44,0.979444
astropy-13033,5,45,1.000000
astropy-13033,5,46,0.979444
astropy-13033,5,47,1.000000
astropy-13033,5,48,1.000000
astropy-13033,5,49,1.000000
astropy-13033,5,50,1.000000
astropy-13033,5,51,1.000000
astropy-13033,5,52,1.000000
astropy-13033,5,53,1.000000
astropy-13033,5,54,1.000000
astropy-13033,5,55,1.000000
astropy-13033,5,56,0.979444
astropy-13033,5,57,1.000000
astropy-13033,5,58,0.979444
astropy-13033,15,0,0.100000
astropy-13033,15,1,0.100000
astropy-13033,15,2,0.150000
astropy-13033,15,3,0.196652
astropy-13033,15,4,0.190179
astropy-13033,15,5,0.234140
astropy-13033,15,6,0.225157
astropy-13033,15,7,0.216776
astropy-13033,15,8,0.308956
astropy-13033,15,9,0.394963
astropy-13033,15,10,0.478086
astropy-13033,15,11,0.556454
astropy-13033,15,12,0.630338
astropy-13033,15,13,0.649994
astropy-13033,15,14,0.663163
astropy-13033,15,15,0.675449
astropy-13033,15,16,0.686913
astropy-13033,15,17,0.697609
astropy-13033,15,18,0.707589
astropy-13033,15,19,0.716901
astropy-13033,15,20,0.725589
astropy-13033,15,21,0.733695
astropy-13033,15,22,0.741258
astropy-13033,15,23,0.748315
astropy-13033,15,24,0.754899
astropy-13033,15,25,0.761043
astropy-13033,15,26,0.766775
astropy-13033,15,27,0.772123
astropy-13033,15,28,0.877113
astropy-13033,15,29,0.825072
astropy-13033,15,30,0.826516
astropy-13033,15,31,0.777863
astropy-13033,15,32,0.732469
astropy-13033,15,33,0.690114
astropy-13033,15,34,0.650596
astropy-13033,15,35,0.608411
astropy-13033,15,36,0.614457
astropy-13033,15,37,0.630006
astropy-13033,15,38,0.644513
astropy-13033,15,39,0.608048
astropy-13033,15,40,0.624026
astropy-13033,15,41,0.638934
astropy-13033,15,42,0.652843
astropy-13033,15,43,0.665821
astropy-13033,15,44,0.627929
astropy-13033,15,45,0.642575
astropy-13033,15,46,0.606241
astropy-13033,15,47,0.622339
astropy-13033,15,48,0.737360
astropy-13033,15,49,0.744678
astropy-13033,15,50,0.751506
astropy-13033,15,51,0.757876
astropy-13033,15,52,0.863820
astropy-13033,15,53,0.862669
astropy-13033,15,54,0.861596
astropy-13033,15,55,0.860594
astropy-13033,15,56,0.809659
astropy-13033,15,57,0.812136
astropy-13033,15,58,0.764446
astropy-13033,60,0,0.100000
astropy-13033,60,1,0.100000
astropy-13033,60,2,0.150000
astropy-13033,60,3,0.187893
astropy-13033,60,4,0.166610
astropy-13033,60,5,0.200481
astropy-13033,60,6,0.176151
astropy-13033,60,7,0.157711
astropy-13033,60,8,0.243737
astropy-13033,60,9,0.308932
astropy-13033,60,10,0.365065
astropy-13033,60,11,0.400882
astropy-13033,60,12,0.428026
astropy-13033,60,13,0.398597
astropy-13033,60,14,0.376294
astropy-13033,60,15,0.359392
astropy-13033,60,16,0.346582
astropy-13033,60,17,0.336874
astropy-13033,60,18,0.329517
astropy-13033,60,19,0.323942
astropy-13033,60,20,0.319716
astropy-13033,60,21,0.316514
astropy-13033,60,22,0.314087
astropy-13033,60,23,0.312247
astropy-13033,60,24,0.310853
astropy-13033,60,25,0.309797
astropy-13033,60,26,0.308996
astropy-13033,60,27,0.308390
astropy-13033,60,28,0.407930
astropy-13033,60,29,0.333367
astropy-13033,60,30,0.326859
astropy-13033,60,31,0.271927
astropy-13033,60,32,0.230296
astropy-13033,60,33,0.198746
astropy-13033,60,34,0.174836
astropy-13033,60,35,0.156715
astropy-13033,60,36,0.192982
astropy-13033,60,37,0.220467
astropy-13033,60,38,0.241297
astropy-13033,60,39,0.207083
astropy-13033,60,40,0.231154
astropy-13033,60,41,0.249396
astropy-13033,60,42,0.263221
astropy-13033,60,43,0.273698
astropy-13033,60,44,0.231639
astropy-13033,60,45,0.249764
astropy-13033,60,46,0.213500
astropy-13033,60,47,0.236017
astropy-13033,60,48,0.353081
astropy-13033,60,49,0.341800
astropy-13033,60,50,0.333250
astropy-13033,60,51,0.326770
astropy-13033,60,52,0.421860
astropy-13033,60,53,0.393924
astropy-13033,60,54,0.372753
astropy-13033,60,55,0.356708
astropy-13033,60,56,0.294548
astropy-13033,60,57,0.297440
astropy-13033,60,58,0.249632
astropy-13236,0,0,0.100000
astropy-13236,0,1,0.100000
astropy-13236,0,2,0.100000
astropy-13236,0,3,0.150000
astropy-13236,0,4,0.150000
astropy-13236,0,5,0.150000
astropy-13236,0,6,0.150000
astropy-13236,0,7,0.250000
astropy-13236,0,8,0.350000
astropy-13236,0,9,0.465000
astropy-13236,0,10,0.465000
astropy-13236,0,11,0.465000
astropy-13236,0,12,0.465000
astropy-13236,0,13,0.522500
astropy-13236,0,14,0.580000
astropy-13236,0,15,0.630000
astropy-13236,0,16,0.630000
astropy-13236,0,17,0.630000
astropy-13236,0,18,0.680000
astropy-13236,0,19,0.680000
astropy-13236,0,20,0.680000
astropy-13236,0,21,0.730000
astropy-13236,0,22,0.780000
astropy-13236,0,23,0.780000
astropy-13236,0,24,0.830000
astropy-13236,0,25,0.830000
astropy-13236,0,26,0.830000
astropy-13236,0,27,0.880000
astropy-13236,0,28,1.000000
astropy-13236,0,29,1.000000
astropy-13236,0,30,1.000000
astropy-13236,0,31,1.000000
astropy-13236,0,32,1.000000
astropy-13236,0,33,1.000000
astropy-13236,0,34,1.000000
astropy-13236,0,35,1.000000
astropy-13236,0,36,1.000000
astropy-13236,0,37,1.000000
