action_index,dt,frustration
0,0,0.100000
1,0,0.100000
2,0,0.150000
3,0,0.150000
4,0,0.200000
5,0,0.350000
6,0,0.350000
7,0,0.350000
8,0,0.350000
9,0,0.350000
10,0,0.350000
11,0,0.407500
12,0,0.557500
13,0,0.807500
14,0,1.000000
15,0,1.000000
16,0,1.000000
17,0,1.000000
18,0,1.000000
19,0,1.000000
20,0,1.000000
21,0,1.000000
22,0,1.000000
23,0,1.000000
24,0,1.000000
25,0,1.000000
26,0,1.000000
27,0,1.000000
28,0,1.000000
29,0,1.000000
30,0,1.000000
0,1,0.100000
1,1,0.100000
2,1,0.150000
3,1,0.149769
4,1,0.199540
5,1,0.349081
6,1,0.347933
7,1,0.346790
8,1,0.345652
9,1,0.344519
10,1,0.343392
11,1,0.392270
12,1,0.540923
13,1,0.788890
14,1,1.000000
15,1,0.996472
16,1,0.992958
17,1,1.000000
18,1,1.000000
19,1,1.000000
20,1,0.995851
21,1,0.991721
22,1,1.000000
23,1,0.995851
24,1,0.991721
25,1,0.987609
26,1,0.983517
27,1,0.979444
28,1,0.975389
29,1,0.971354
30,1,0.967336
0,5,0.100000
1,5,0.100000
2,5,0.150000
3,5,0.148858
4,5,0.197742
5,5,0.345510
6,5,0.339902
7,5,0.334423
8,5,0.329069
9,5,0.323837
10,5,0.318724
11,5,0.363729
12,5,0.507705
13,5,0.748393
14,5,0.985783
15,5,0.968557
16,5,0.951666
17,5,1.000000
18,5,1.000000
19,5,1.000000
20,5,0.979444
21,5,0.959357
22,5,0.989730
23,5,0.969408
24,5,0.949551
25,5,0.930147
26,5,0.911187
27,5,0.892659
28,5,0.874555
29,5,0.856864
30,5,0.839577
0,15,0.100000
1,15,0.100000
2,15,0.150000
3,15,0.146652
4,15,0.193528
5,15,0.337264
6,15,0.321375
7,15,0.306551
8,15,0.292718
9,15,0.279813
10,15,0.267771
11,15,0.306536
12,15,0.442705
13,15,0.669755
14,15,0.887156
15,15,0.842119
16,15,0.799658
17,15,0.852804
18,15,0.902391
19,15,0.948657
20,15,0.891825
21,15,0.838799
22,15,0.839324
23,15,0.789814
24,15,0.743619
25,15,0.700518
26,15,0.660303
27,15,0.622781
28,15,0.587772
29,15,0.555107
30,15,0.524630
0,30,0.100000
1,30,0.100000
2,30,0.150000
3,30,0.143528
4,30,0.187893
5,30,0.326515
6,30,0.297193
7,30,0.271666
8,30,0.249444
9,30,0.230099
10,30,0.213258
11,30,0.248596
12,30,0.379361
13,30,0.593198
14,30,0.788375
15,30,0.711857
16,30,0.643845
17,30,0.663444
18,30,0.690507
19,30,0.714066
20,30,0.634576
21,30,0.565375
22,30,0.555133
23,30,0.496216
24,30,0.444926
25,30,0.400275
26,30,0.361405
27,30,0.327566
28,30,0.298108
29,30,0.272463
30,30,0.250138
0,60,0.100000
1,60,0.100000
2,60,0.150000
3,60,0.137893
4,60,0.178717
5,60,0.309657
6,60,0.258890
7,60,0.220416
8,60,0.191258
9,60,0.169161
10,60,0.152414
11,60,0.189723
12,60,0.317997
13,60,0.515211
14,60,0.678034
15,60,0.556670
16,60,0.446092
17,60,0.452288
18,60,0.466985
19,60,0.478122
20,60,0.386563
21,60,0.317174
22,60,0.314587
23,60,0.262627
24,60,0.223248
25,60,0.193405
26,60,0.170787
27,60,0.153647
28,60,0.140657
29,60,0.130812
30,60,0.123351
0,150,0.100000
1,150,0.100000
2,150,0.150000
3,150,0.125000
4,150,0.162500
5,150,0.281250
6,150,0.190625
7,150,0.145313
8,150,0.122656
9,150,0.111328
10,150,0.105105
11,150,0.152552
12,150,0.276276
13,150,0.438138
14,150,0.537594
15,150,0.342770
16,150,0.221385
17,150,0.244699
18,150,0.272350
19,150,0.286175
20,150,0.193087
21,150,0.146544
22,150,0.173272
23,150,0.136636
24,150,0.118318
25,150,0.109159
26,150,0.104579
27,150,0.102290
28,150,0.101145
29,150,0.100572
30,150,0.100286
0,300,0.100000
1,300,0.100000
2,300,0.150000
3,300,0.112500
4,300,0.153125
5,300,0.263281
6,300,0.140820
7,300,0.110205
8,300,0.102551
9,300,0.100518
10,300,0.100105
11,300,0.150026
12,300,0.262507
13,300,0.390627
14,300,0.439451
15,300,0.204478
16,300,0.126120
17,300,0.195304
18,300,0.223826
19,300,0.230956
20,300,0.132739
21,300,0.108185
22,300,0.152046
23,300,0.113012
24,300,0.103253
25,300,0.100813
26,300,0.100203
27,300,0.100051
28,300,0.100013
29,300,0.100003
30,300,0.100001
0,600,0.100000
1,600,0.100000
2,600,0.150000
3,600,0.103125
4,600,0.150195
5,600,0.253137
6,600,0.109571
7,600,0.100598
8,600,0.100037
9,600,0.100002
10,600,0.100000
11,600,0.150000
12,600,0.253125
13,600,0.359570
14,600,0.374590
15,600,0.126013
16,600,0.101626
17,600,0.190102
18,600,0.205631
19,600,0.206602
20,600,0.106663
21,600,0.100416
22,600,0.150026
23,600,0.103127
24,600,0.100195
25,600,0.100012
26,600,0.100001
27,600,0.100000
28,600,0.100000
29,600,0.100000
30,600,0.100000
