trajectory,dt,action_index,frustration
13033,15,35,0.608411
13033,15,36,0.614457
13033,15,37,0.630006
13033,15,38,0.644513
13033,15,39,0.608048
13033,15,40,0.624026
13033,15,41,0.638934
13033,15,42,0.652843
13033,15,43,0.665821
13033,15,44,0.627929
13033,15,45,0.642575
13033,15,46,0.606241
13033,15,47,0.622339
13033,15,48,0.737360
13033,15,49,0.744678
13033,15,50,0.751506
13033,15,51,0.757876
13033,15,52,0.863820
13033,15,53,0.862669
13033,15,54,0.861596
13033,15,55,0.860594
13033,15,56,0.809659
13033,15,57,0.812136
13033,15,58,0.764446
13033,60,0,0.100000
13033,60,1,0.100000
13033,60,2,0.150000
13033,60,3,0.187893
13033,60,4,0.166610
13033,60,5,0.200481
13033,60,6,0.176151
13033,60,7,0.157711
13033,60,8,0.243737
13033,60,9,0.308932
13033,60,10,0.365065
13033,60,11,0.400882
13033,60,12,0.428026
13033,60,13,0.398597
13033,60,14,0.376294
13033,60,15,0.359392
13033,60,16,0.346582
13033,60,17,0.336874
13033,60,18,0.329517
13033,60,19,0.323942
13033,60,20,0.319716
13033,60,21,0.316514
13033,60,22,0.314087
13033,60,23,0.312247
13033,60,24,0.310853
13033,60,25,0.309797
13033,60,26,0.308996
13033,60,27,0.308390
13033,60,28,0.407930
13033,60,29,0.333367
13033,60,30,0.326859
13033,60,31,0.271927
13033,60,32,0.230296
13033,60,33,0.198746
13033,60,34,0.174836
13033,60,35,0.156715
13033,60,36,0.192982
13033,60,37,0.220467
13033,60,38,0.241297
13033,60,39,0.207083
13033,60,40,0.231154
13033,60,41,0.249396
13033,60,42,0.263221
13033,60,43,0.273698
13033,60,44,0.231639
13033,60,45,0.249764
13033,60,46,0.213500
13033,60,47,0.236017
13033,60,48,0.353081
13033,60,49,0.341800
13033,60,50,0.333250
13033,60,51,0.326770
13033,60,52,0.421860
13033,60,53,0.393924
13033,60,54,0.372753
13033,60,55,0.356708
13033,60,56,0.294548
13033,60,57,0.297440
13033,60,58,0.249632
13236,0,0,0.100000
13236,0,1,0.100000
13236,0,2,0.100000
13236,0,3,0.150000
13236,0,4,0.150000
13236,0,5,0.150000
13236,0,6,0.150000
13236,0,7,0.250000
13236,0,8,0.350000
13236,0,9,0.465000
13236,0,10,0.465000
13236,0,11,0.465000
13236,0,12,0.465000
13236,0,13,0.522500
13236,0,14,0.580000
13236,0,15,0.630000
13236,0,16,0.630000
13236,0,17,0.630000
13236,0,18,0.680000
13236,0,19,0.680000
13236,0,20,0.680000
13236,0,21,0.730000
13236,0,22,0.780000
13236,0,23,0.780000
13236,0,24,0.830000
13236,0,25,0.830000
13236,0,26,0.830000
13236,0,27,0.880000
13236,0,28,1.000000
13236,0,29,1.000000
13236,0,30,1.000000
13236,0,31,1.000000
13236,0,32,1.000000
13236,0,33,1.000000
13236,0,34,1.000000
13236,0,35,1.000000
13236,0,36,1.000000
13236,0,37,1.000000
13236,0,38,1.000000
13236,0,39,1.000000
13236,0,40,1.000000
13236,0,41,1.000000
13236,0,42,1.000000
13236,0,43,1.000000
13236,5,0,0.100000
13236,5,1,0.100000
13236,5,2,0.100000
13236,5,3,0.150000
13236,5,4,0.148858
13236,5,5,0.147742
13236,5,6,0.146652
13236,5,7,0.245586
13236,5,8,0.342261
13236,5,9,0.437550
13236,5,10,0.430985
13236,5,11,0.423425
13236,5,12,0.416038
13236,5,13,0.458820
13236,5,14,0.500624
13236,5,15,0.541474
13236,5,16,0.531391
13236,5,17,0.521538
13236,5,18,0.561910
13236,5,19,0.551360
13236,5,20,0.541051
13236,5,21,0.580977
13236,5,22,0.619992
13236,5,23,0.608115
13236,5,24,0.646510
13236,5,25,0.634027
13236,5,26,0.621830
13236,5,27,0.659912
13236,5,28,0.797123
13236,5,29,0.781201
13236,5,30,0.815642
13236,5,31,0.849297
13236,5,32,0.882183
13236,5,33,0.914318
13236,5,34,0.945719
13236,5,35,0.926403
13236,5,36,0.907528
13236,5,37,1.000000
13236,5,38,0.979444
13236,5,39,1.000000
13236,5,40,1.000000
13236,5,41,0.979444
13236,5,42,0.959357
13236,5,43,0.939730
13236,15,0,0.100000
13236,15,1,0.100000
13236,15,2,0.100000
13236,15,3,0.150000
13236,15,4,0.146652
13236,15,5,0.143528
13236,15,6,0.140613
13236,15,7,0.237893
13236,15,8,0.328659
13236,15,9,0.415576
13236,15,10,0.397520
13236,15,11,0.377596
13236,15,12,0.359006
13236,15,13,0.391661
13236,15,14,0.422130
13236,15,15,0.450558
13236,15,16,0.427082
13236,15,17,0.405178
13236,15,18,0.434741
13236,15,19,0.412325
13236,15,20,0.391409
13236,15,21,0.421894
13236,15,22,0.450338
13236,15,23,0.426877
13236,15,24,0.454987
13236,15,25,0.431215
13236,15,26,0.409034
13236,15,27,0.438339
13236,15,28,0.565681
13236,15,29,0.534496
13236,15,30,0.555399
13236,15,31,0.574903
13236,15,32,0.593100
13236,15,33,0.610078
13236,15,34,0.625920
13236,15,35,0.590701
13236,15,36,0.557840
13236,15,37,0.677180
13236,15,38,0.638528
13236,15,39,0.752464
13236,15,40,0.758771
13236,15,41,0.714655
13236,15,42,0.673493
13236,15,43,0.635088
13236,60,0,0.100000
13236,60,1,0.100000
13236,60,2,0.100000
13236,60,3,0.150000
13236,60,4,0.137893
13236,60,5,0.128717
13236,60,6,0.121764
13236,60,7,0.216494
13236,60,8,0.288286
13236,60,9,0.348754
13236,60,10,0.296526
13236,60,11,0.248939
13236,60,12,0.212874
13236,60,13,0.230543
13236,60,14,0.248933
13236,60,15,0.262870
13236,60,16,0.223432
13236,60,17,0.193544
13236,60,18,0.220893
13236,60,19,0.191620
13236,60,20,0.169435
13236,60,21,0.202622
13236,60,22,0.227773
13236,60,23,0.196834
13236,60,24,0.223386
13236,60,25,0.193509
13236,60,26,0.170867
13236,60,27,0.203707
13236,60,28,0.328595
13236,60,29,0.273243
13236,60,30,0.281293
13236,60,31,0.287395
13236,60,32,0.292019
13236,60,33,0.295523
13236,60,34,0.298179
13236,60,35,0.250191
13236,60,36,0.213824
13236,60,37,0.336262
13236,60,38,0.279053
13236,60,39,0.385697
13236,60,40,0.366518
13236,60,41,0.301983
13236,60,42,0.253074
13236,60,43,0.216009
13398,0,0,0.100000
13398,0,1,0.100000
13398,0,2,0.100000
13398,0,3,0.150000
13398,0,4,0.150000
13398,0,5,0.150000
13398,0,6,0.150000
13398,0,7,0.150000
13398,0,8,0.200000
13398,0,9,0.350000
13398,0,10,0.350000
13398,0,11,0.350000
13398,0,12,0.450000
13398,0,13,0.550000
13398,0,14,0.665000
13398,0,15,0.780000
13398,0,16,0.895000
13398,0,17,0.895000
13398,0,18,0.895000
13398,0,19,0.895000
13398,0,20,0.895000
13398,0,21,0.952500
13398,0,22,0.952500
13398,0,23,0.952500
13398,0,24,0.952500
13398,0,25,0.952500
13398,0,26,0.952500
13398,0,27,0.952500
13398,0,28,0.952500
13398,0,29,1.000000
13398,0,30,1.000000
13398,0,31,1.000000
13398,0,32,1.000000
13398,0,33,1.000000
13398,0,34,1.000000
13398,0,35,1.000000
13398,0,36,1.000000
13398,0,37,1.000000
13398,0,38,1.000000
13398,0,39,1.000000
13398,0,40,1.000000
13398,0,41,1.000000
13398,0,42,1.000000
13398,0,43,1.000000
13398,0,44,1.000000
13398,0,45,1.000000
13398,0,46,1.000000
13398,0,47,1.000000
13398,0,48,1.000000
13398,0,49,1.000000
13398,0,50,1.000000
13398,0,51,1.000000
13398,0,52,1.000000
13398,0,53,1.000000
13398,0,54,1.000000
13398,0,55,1.000000
13398,5,0,0.100000
13398,5,1,0.100000
13398,5,2,0.100000
13398,5,3,0.150000
13398,5,4,0.148858
13398,5,5,0.147742
13398,5,6,0.146652
13398,5,7,0.145586
13398,5,8,0.194545
13398,5,9,0.342386
13398,5,10,0.336849
13398,5,11,0.331440
13398,5,12,0.426154
13398,5,13,0.518704
13398,5,14,0.610562
13398,5,15,0.700632
13398,5,16,0.788952
13398,5,17,0.775553
13398,5,18,0.760123
13398,5,19,0.745046
13398,5,20,0.730313
13398,5,21,0.765917
13398,5,22,0.750707
13398,5,23,0.735845
13398,5,24,0.721322
