action_index,dt,frustration
0,0,0.100000
1,0,0.150000
2,0,0.150000
3,0,0.150000
4,0,0.200000
5,0,0.200000
6,0,0.200000
7,0,0.350000
8,0,0.407500
9,0,0.465000
10,0,0.465000
11,0,0.465000
12,0,0.465000
13,0,0.465000
14,0,0.465000
15,0,0.565000
16,0,0.665000
17,0,0.780000
18,0,0.895000
19,0,1.000000
20,0,1.000000
21,0,1.000000
22,0,1.000000
23,0,1.000000
24,0,1.000000
25,0,1.000000
26,0,1.000000
27,0,1.000000
0,1,0.100000
1,1,0.150000
2,1,0.149769
3,1,0.149540
4,1,0.199312
5,1,0.198854
6,1,0.198398
7,1,0.347944
8,1,0.396801
9,1,0.445433
10,1,0.443840
11,1,0.442255
12,1,0.440677
13,1,0.439107
14,1,0.437543
15,1,0.535987
16,1,0.633977
17,1,0.731884
18,1,0.829407
19,1,0.926547
20,1,0.923307
21,1,0.919511
22,1,0.915733
23,1,0.961972
24,1,0.957998
25,1,0.954043
26,1,0.950105
27,1,0.946186
0,5,0.100000
1,5,0.150000
2,5,0.148858
3,5,0.147742
4,5,0.196652
5,5,0.194444
6,5,0.192287
7,5,0.340179
8,5,0.384693
9,5,0.428191
10,5,0.420695
11,5,0.413370
12,5,0.406213
13,5,0.399219
14,5,0.392385
15,5,0.485707
16,5,0.576897
17,5,0.667623
18,5,0.756584
19,5,0.843815
20,5,0.829350
21,5,0.812691
22,5,0.796413
23,5,0.830507
24,5,0.813822
25,5,0.797519
26,5,0.781587
27,5,0.766020
0,15,0.100000
1,15,0.150000
2,15,0.146652
3,15,0.143528
4,15,0.190613
5,15,0.184545
6,15,0.178883
7,15,0.323600
8,15,0.358626
9,15,0.391307
10,15,0.371799
11,15,0.353598
12,15,0.336615
13,15,0.320769
14,15,0.305985
15,15,0.392191
16,15,0.472624
17,15,0.551304
18,15,0.625482
19,15,0.695417
20,15,0.661350
21,15,0.623758
22,15,0.588683
23,15,0.605958
24,15,0.572075
25,15,0.540462
26,15,0.510965
27,15,0.483444
0,30,0.100000
1,30,0.150000
2,30,0.143528
3,30,0.137893
4,30,0.182988
5,30,0.172245
6,30,0.162893
7,30,0.304751
8,30,0.328247
9,30,0.348700
10,30,0.316506
11,30,0.288479
12,30,0.264081
13,30,0.242841
14,30,0.224350
15,30,0.308253
16,30,0.381295
17,30,0.450027
18,30,0.511119
19,30,0.565420
20,30,0.505172
21,30,0.452722
22,30,0.407063
23,30,0.417314
24,30,0.376237
25,30,0.340479
26,30,0.309349
27,30,0.282249
0,60,0.100000
1,60,0.150000
2,60,0.137893
3,60,0.128717
4,60,0.171764
5,60,0.154387
6,60,0.141217
7,60,0.281237
8,60,0.287352
9,60,0.291986
10,60,0.245498
11,60,0.210267
12,60,0.183567
13,60,0.163332
14,60,0.147997
15,60,0.236375
16,60,0.303353
17,60,0.360657
18,60,0.397541
19,60,0.425494
20,60,0.346678
21,60,0.286947
22,60,0.241679
23,60,0.252999
24,60,0.215952
25,60,0.187875
26,60,0.166597
27,60,0.150471
0,150,0.100000
1,150,0.150000
2,150,0.125000
3,150,0.112500
4,150,0.156250
5,150,0.128125
6,150,0.114062
7,150,0.257031
8,150,0.228516
9,150,0.214258
10,150,0.157129
11,150,0.128564
12,150,0.114282
13,150,0.107141
14,150,0.103571
15,150,0.201785
16,150,0.250893
17,150,0.275446
18,150,0.287723
19,150,0.293862
20,150,0.196931
21,150,0.148465
22,150,0.124233
23,150,0.160920
24,150,0.130460
25,150,0.115230
26,150,0.107615
27,150,0.103807
0,300,0.100000
1,300,0.150000
2,300,0.112500
3,300,0.103125
4,300,0.150781
5,300,0.112695
6,300,0.103174
7,300,0.250793
8,300,0.187698
9,300,0.171925
10,300,0.117981
11,300,0.104495
12,300,0.101124
13,300,0.100281
14,300,0.100070
15,300,0.200018
16,300,0.225004
17,300,0.231251
18,300,0.232813
19,300,0.233203
20,300,0.133301
21,300,0.108325
22,300,0.102081
23,300,0.150520
24,300,0.112630
25,300,0.103158
26,300,0.100789
27,300,0.100197
0,600,0.100000
1,600,0.150000
2,600,0.103125
3,600,0.100195
4,600,0.150012
5,600,0.103126
6,600,0.100195
7,600,0.250012
8,600,0.159376
9,600,0.153711
10,600,0.103357
11,600,0.100210
12,600,0.100013
13,600,0.100001
14,600,0.100000
15,600,0.200000
16,600,0.206250
17,600,0.206641
18,600,0.206665
19,600,0.206667
20,600,0.106667
21,600,0.100417
22,600,0.100026
23,600,0.150002
24,600,0.103125
25,600,0.100195
26,600,0.100012
27,600,0.100001
