action_index,dt,frustration
0,0,0.100000
1,0,0.100000
2,0,0.100000
3,0,0.150000
4,0,0.150000
5,0,0.150000
6,0,0.150000
7,0,0.150000
8,0,0.200000
9,0,0.350000
10,0,0.350000
11,0,0.350000
12,0,0.450000
13,0,0.550000
14,0,0.665000
15,0,0.780000
16,0,0.895000
17,0,0.895000
18,0,0.895000
19,0,0.895000
20,0,0.895000
21,0,0.952500
22,0,0.952500
23,0,0.952500
24,0,0.952500
25,0,0.952500
26,0,0.952500
27,0,0.952500
28,0,0.952500
29,0,1.000000
30,0,1.000000
31,0,1.000000
32,0,1.000000
33,0,1.000000
34,0,1.000000
35,0,1.000000
36,0,1.000000
37,0,1.000000
38,0,1.000000
39,0,1.000000
40,0,1.000000
41,0,1.000000
42,0,1.000000
43,0,1.000000
44,0,1.000000
45,0,1.000000
46,0,1.000000
47,0,1.000000
48,0,1.000000
49,0,1.000000
50,0,1.000000
51,0,1.000000
52,0,1.000000
53,0,1.000000
54,0,1.000000
55,0,1.000000
0,1,0.100000
1,1,0.100000
2,1,0.100000
3,1,0.150000
4,1,0.149769
5,1,0.149540
6,1,0.149312
7,1,0.149084
8,1,0.198858
9,1,0.348402
10,1,0.347257
11,1,0.346117
12,1,0.444982
13,1,0.543392
14,1,0.641654
15,1,0.739530
16,1,0.837023
17,1,0.834134
18,1,0.830750
19,1,0.827381
20,1,0.824027
21,1,0.870689
22,1,0.867136
23,1,0.863599
24,1,0.860079
25,1,0.856575
26,1,0.853087
27,1,0.849615
28,1,0.846159
29,1,0.942719
30,1,0.938833
31,1,0.934966
32,1,0.931117
33,1,0.927285
34,1,0.923471
35,1,0.919674
36,1,0.915895
37,1,0.912134
38,1,0.958390
39,1,0.954432
40,1,0.950493
41,1,0.946572
42,1,0.942669
43,1,0.938784
44,1,0.934917
45,1,1.000000
46,1,0.995851
47,1,0.991721
48,1,0.987609
49,1,0.983517
50,1,0.979444
51,1,0.975389
52,1,0.971354
53,1,0.967336
54,1,0.963338
55,1,0.959357
0,5,0.100000
1,5,0.100000
2,5,0.100000
3,5,0.150000
4,5,0.148858
5,5,0.147742
6,5,0.146652
7,5,0.145586
8,5,0.194545
9,5,0.342386
10,5,0.336849
11,5,0.331440
12,5,0.426154
13,5,0.518704
14,5,0.610562
15,5,0.700632
16,5,0.788952
17,5,0.775553
18,5,0.760123
19,5,0.745046
20,5,0.730313
21,5,0.765917
22,5,0.750707
23,5,0.735845
24,5,0.721322
25,5,0.707131
26,5,0.693265
27,5,0.679714
28,5,0.666474
29,5,0.753535
30,5,0.738609
31,5,0.724023
32,5,0.709770
33,5,0.695843
34,5,0.682234
35,5,0.668936
36,5,0.655941
37,5,0.643243
38,5,0.680836
39,5,0.667569
40,5,0.654606
41,5,0.641939
42,5,0.629561
43,5,0.617466
44,5,0.605647
45,5,0.694098
46,5,0.680529
47,5,0.667269
48,5,0.654313
49,5,0.641652
50,5,0.629281
51,5,0.617192
52,5,0.605380
53,5,0.593837
54,5,0.582557
55,5,0.571536
0,15,0.100000
1,15,0.100000
2,15,0.100000
3,15,0.150000
4,15,0.146652
5,15,0.143528
6,15,0.140613
7,15,0.137893
8,15,0.185355
9,15,0.329639
10,15,0.314261
11,15,0.299913
12,15,0.386525
13,15,0.467337
14,15,0.546320
15,15,0.620784
16,15,0.690987
17,15,0.657173
18,15,0.619861
19,15,0.585047
20,15,0.552565
21,15,0.572258
22,15,0.540633
23,15,0.511125
24,15,0.483593
25,15,0.457905
26,15,0.433937
27,15,0.411574
28,15,0.390709
29,15,0.471241
30,15,0.446380
31,15,0.423184
32,15,0.401542
33,15,0.381348
34,15,0.362507
35,15,0.344928
36,15,0.328526
37,15,0.313222
38,15,0.348943
39,15,0.332272
40,15,0.316718
41,15,0.302205
42,15,0.288664
43,15,0.276029
44,15,0.264241
45,15,0.353243
46,15,0.336284
47,15,0.320460
48,15,0.305697
49,15,0.291922
50,15,0.279070
51,15,0.267078
52,15,0.255889
53,15,0.245450
54,15,0.235709
55,15,0.226621
0,30,0.100000
1,30,0.100000
2,30,0.100000
3,30,0.150000
4,30,0.143528
5,30,0.137893
6,30,0.132988
7,30,0.128717
8,30,0.175000
9,30,0.315291
10,30,0.287422
11,30,0.263160
12,30,0.342039
13,30,0.410707
14,30,0.476170
15,30,0.534356
16,30,0.578129
17,30,0.516235
18,30,0.462354
19,30,0.415447
20,30,0.374613
21,30,0.379145
22,30,0.343009
23,30,0.311552
24,30,0.284167
25,30,0.260326
26,30,0.239572
27,30,0.221505
28,30,0.205776
29,30,0.292083
30,30,0.267218
31,30,0.245572
32,30,0.226728
33,30,0.210323
34,30,0.196042
35,30,0.183609
36,30,0.172786
37,30,0.163364
38,30,0.205161
39,30,0.191548
40,30,0.179697
41,30,0.169381
42,30,0.160399
43,30,0.152581
44,30,0.145774
45,30,0.239849
46,30,0.221745
47,30,0.205986
48,30,0.192266
49,30,0.180322
50,30,0.169924
51,30,0.160873
52,30,0.152993
53,30,0.146133
54,30,0.140161
55,30,0.134962
0,60,0.100000
1,60,0.100000
2,60,0.100000
3,60,0.150000
4,60,0.137893
5,60,0.128717
6,60,0.121764
7,60,0.116494
8,60,0.162500
9,60,0.297366
10,60,0.249576
11,60,0.213357
12,60,0.285909
13,60,0.340892
14,60,0.382562
15,60,0.414142
16,60,0.438075
17,60,0.356213
18,60,0.294173
19,60,0.247156
20,60,0.211523
21,60,0.226076
22,60,0.195548
23,60,0.172412
24,60,0.154878
25,60,0.141590
26,60,0.131519
27,60,0.123887
28,60,0.118103
29,60,0.213719
30,60,0.186183
31,60,0.165315
32,60,0.149499
33,60,0.137513
34,60,0.128430
35,60,0.121546
36,60,0.116329
37,60,0.112375
38,60,0.159378
39,60,0.145000
40,60,0.134104
41,60,0.125846
42,60,0.119588
43,60,0.114845
44,60,0.111250
45,60,0.208526
46,60,0.182247
47,60,0.162332
48,60,0.147239
49,60,0.135800
50,60,0.127131
51,60,0.120562
52,60,0.115583
53,60,0.111810
54,60,0.108950
55,60,0.106783
0,150,0.100000
1,150,0.100000
2,150,0.100000
3,150,0.150000
4,150,0.125000
5,150,0.112500
6,150,0.106250
7,150,0.103125
8,150,0.151562
9,150,0.275781
10,150,0.187891
11,150,0.143945
12,150,0.221973
13,150,0.260986
14,150,0.280493
15,150,0.290247
16,150,0.295123
17,150,0.197562
18,150,0.148781
19,150,0.124390
20,150,0.112195
21,150,0.155495
22,150,0.127748
23,150,0.113874
24,150,0.106937
25,150,0.103468
26,150,0.101734
27,150,0.100867
28,150,0.100434
29,150,0.200217
30,150,0.150108
31,150,0.125054
32,150,0.112527
33,150,0.106264
34,150,0.103132
35,150,0.101566
36,150,0.100783
37,150,0.100391
38,150,0.150196
39,150,0.125098
40,150,0.112549
41,150,0.106274
42,150,0.103137
43,150,0.101569
44,150,0.100784
45,150,0.200392
46,150,0.150196
47,150,0.125098
48,150,0.112549
49,150,0.106275
50,150,0.103137
51,150,0.101569
52,150,0.100784
53,150,0.100392
54,150,0.100196
55,150,0.100098
0,300,0.100000
1,300,0.100000
2,300,0.100000
3,300,0.150000
4,300,0.112500
5,300,0.103125
6,300,0.100781
7,300,0.100195
8,300,0.150049
9,300,0.262512
10,300,0.140628
11,300,0.110157
12,300,0.202539
13,300,0.225635
14,300,0.231409
15,300,0.232852
16,300,0.233213
17,300,0.133303
18,300,0.108326
19,300,0.102081
20,300,0.100520
21,300,0.150130
22,300,0.112533
23,300,0.103133
24,300,0.100783
25,300,0.100196
26,300,0.100049
27,300,0.100012
28,300,0.100003
29,300,0.200001
30,300,0.125000
31,300,0.106250
32,300,0.101563
33,300,0.100391
34,300,0.100098
35,300,0.100024
36,300,0.100006
37,300,0.100002
38,300,0.150000
39,300,0.112500
40,300,0.103125
41,300,0.100781
42,300,0.100195
43,300,0.100049
44,300,0.100012
45,300,0.200003
46,300,0.125001
47,300,0.106250
48,300,0.101563
49,300,0.100391
50,300,0.100098
51,300,0.100024
52,300,0.100006
53,300,0.100002
54,300,0.100000
55,300,0.100000
0,600,0.100000
1,600,0.100000
2,600,0.100000
3,600,0.150000
4,600,0.103125
5,600,0.100195
6,600,0.100012
7,600,0.100001
8,600,0.150000
9,600,0.253125
10,600,0.109570
11,600,0.100598
12,600,0.200037
13,600,0.206252
14,600,0.206641
15,600,0.206665
16,600,0.206667
17,600,0.106667
18,600,0.100417
19,600,0.100026
20,600,0.100002
21,600,0.150000
22,600,0.103125
23,600,0.100195
24,600,0.100012
25,600,0.100001
26,600,0.100000
27,600,0.100000
28,600,0.100000
29,600,0.200000
30,600,0.106250
31,600,0.100391
32,600,0.100024
33,600,0.100002
34,600,0.100000
35,600,0.100000
36,600,0.100000
37,600,0.100000
38,600,0.150000
39,600,0.103125
40,600,0.100195
41,600,0.100012
42,600,0.100001
43,600,0.100000
44,600,0.100000
45,600,0.200000
46,600,0.106250
47,600,0.100391
48,600,0.100024
49,600,0.100002
50,600,0.100000
51,600,0.100000
52,600,0.100000
53,600,0.100000
54,600,0.100000
55,600,0.100000
