dt,a6_min,a6_med,a6_max,t3_min,t3_med,t3_max,n_crossers,mean_persist
0,5,18.5,47,1,1.0,1,20,100.00
1,3,18.5,47,1,1.0,1,20,100.00
5,0,16.5,47,0,1.0,2,19,93.36
15,0,4.5,28,0,1.0,2,14,63.41
30,0,0.0,5,0,0.0,1,5,15.59
60,0,0.0,1,0,0.0,1,1,2.56
150,0,0.0,0,0,0.0,0,0,0.00
300,0,0.0,0,0,0.0,0,0,0.00
600,0,0.0,0,0,0.0,0,0,0.00
